ID,Jenis Sayuran,Tanggal Harga,Musim,Harga Beli Pengepul per Kilogram
3343,Sawi Putih,7/12/2022,Kemarau,5100
3344,Cabe Chilli,7/12/2022,Kemarau,22400
3345,Cabe Kriting,7/12/2022,Kemarau,42000
3346,Cabe Rawit,7/12/2022,Kemarau,46200
3347,Kol,7/12/2022,Kemarau,8900
3348,Buncis,7/12/2022,Kemarau,5800
3349,Sawi Putih,7/13/2022,Kemarau,4700
3350,Cabe Chilli,7/13/2022,Kemarau,17600
3351,Cabe Kriting,7/13/2022,Kemarau,30000
3352,Cabe Rawit,7/13/2022,Kemarau,49500
3353,Kol,7/13/2022,Kemarau,7200
3354,Buncis,7/13/2022,Kemarau,3800
3355,Sawi Putih,7/14/2022,Kemarau,3800
3356,Cabe Chilli,7/14/2022,Kemarau,26500
3357,Cabe Kriting,7/14/2022,Kemarau,32300
3358,Cabe Rawit,7/14/2022,Kemarau,66500
3359,Kol,7/14/2022,Kemarau,4400
3360,Buncis,7/14/2022,Kemarau,7400
3361,Sawi Putih,7/15/2022,Kemarau,4400
3362,Cabe Chilli,7/15/2022,Kemarau,21900
3363,Cabe Kriting,7/15/2022,Kemarau,35600
3364,Cabe Rawit,7/15/2022,Kemarau,57000
3365,Kol,7/15/2022,Kemarau,5900
3366,Buncis,7/15/2022,Kemarau,4400
3367,Sawi Putih,7/16/2022,Kemarau,1300
3368,Cabe Chilli,7/16/2022,Kemarau,26100
3369,Cabe Kriting,7/16/2022,Kemarau,30700
3370,Cabe Rawit,7/16/2022,Kemarau,44300
3371,Kol,7/16/2022,Kemarau,12800
3372,Buncis,7/16/2022,Kemarau,3600
3373,Sawi Putih,7/17/2022,Kemarau,3500
3374,Cabe Chilli,7/17/2022,Kemarau,29600
3375,Cabe Kriting,7/17/2022,Kemarau,32100
3376,Cabe Rawit,7/17/2022,Kemarau,66700
3377,Kol,7/17/2022,Kemarau,5300
3378,Buncis,7/17/2022,Kemarau,2400
3379,Sawi Putih,7/18/2022,Kemarau,1300
3380,Cabe Chilli,7/18/2022,Kemarau,27800
3381,Cabe Kriting,7/18/2022,Kemarau,44400
3382,Cabe Rawit,7/18/2022,Kemarau,54300
3383,Kol,7/18/2022,Kemarau,6200
3384,Buncis,7/18/2022,Kemarau,6800
3385,Sawi Putih,7/19/2022,Kemarau,1600
3386,Cabe Chilli,7/19/2022,Kemarau,25600
3387,Cabe Kriting,7/19/2022,Kemarau,34600
3388,Cabe Rawit,7/19/2022,Kemarau,46900
3389,Kol,7/19/2022,Kemarau,8700
3390,Buncis,7/19/2022,Kemarau,5300
3391,Sawi Putih,7/20/2022,Kemarau,1200
3392,Cabe Chilli,7/20/2022,Kemarau,22300
3393,Cabe Kriting,7/20/2022,Kemarau,36500
3394,Cabe Rawit,7/20/2022,Kemarau,53000
3395,Kol,7/20/2022,Kemarau,11600
3396,Buncis,7/20/2022,Kemarau,4800
3397,Sawi Putih,7/21/2022,Kemarau,3600
3398,Cabe Chilli,7/21/2022,Kemarau,21700
3399,Cabe Kriting,7/21/2022,Kemarau,29100
3400,Cabe Rawit,7/21/2022,Kemarau,63000
3401,Kol,7/21/2022,Kemarau,8400
3402,Buncis,7/21/2022,Kemarau,4200
3403,Sawi Putih,7/22/2022,Kemarau,800
3404,Cabe Chilli,7/22/2022,Kemarau,24600
3405,Cabe Kriting,7/22/2022,Kemarau,34300
3406,Cabe Rawit,7/22/2022,Kemarau,48700
3407,Kol,7/22/2022,Kemarau,7300
3408,Buncis,7/22/2022,Kemarau,7300
3409,Sawi Putih,7/23/2022,Kemarau,4400
3410,Cabe Chilli,7/23/2022,Kemarau,20500
3411,Cabe Kriting,7/23/2022,Kemarau,33800
3412,Cabe Rawit,7/23/2022,Kemarau,48800
3413,Kol,7/23/2022,Kemarau,5700
3414,Buncis,7/23/2022,Kemarau,3800
3415,Sawi Putih,7/24/2022,Kemarau,800
3416,Cabe Chilli,7/24/2022,Kemarau,26600
3417,Cabe Kriting,7/24/2022,Kemarau,27600
3418,Cabe Rawit,7/24/2022,Kemarau,46800
3419,Kol,7/24/2022,Kemarau,5400
3420,Buncis,7/24/2022,Kemarau,7700
3421,Sawi Putih,7/25/2022,Kemarau,2600
3422,Cabe Chilli,7/25/2022,Kemarau,24300
3423,Cabe Kriting,7/25/2022,Kemarau,37100
3424,Cabe Rawit,7/25/2022,Kemarau,51100
3425,Kol,7/25/2022,Kemarau,6400
3426,Buncis,7/25/2022,Kemarau,4400
3427,Sawi Putih,7/26/2022,Kemarau,4000
3428,Cabe Chilli,7/26/2022,Kemarau,21800
3429,Cabe Kriting,7/26/2022,Kemarau,34900
3430,Cabe Rawit,7/26/2022,Kemarau,62300
3431,Kol,7/26/2022,Kemarau,8300
3432,Buncis,7/26/2022,Kemarau,7900
3433,Sawi Putih,7/27/2022,Kemarau,2500
3434,Cabe Chilli,7/27/2022,Kemarau,26100
3435,Cabe Kriting,7/27/2022,Kemarau,33300
3436,Cabe Rawit,7/27/2022,Kemarau,44500
3437,Kol,7/27/2022,Kemarau,4400
3438,Buncis,7/27/2022,Kemarau,3900
3439,Sawi Putih,7/28/2022,Kemarau,3500
3440,Cabe Chilli,7/28/2022,Kemarau,19500
3441,Cabe Kriting,7/28/2022,Kemarau,40600
3442,Cabe Rawit,7/28/2022,Kemarau,47300
3443,Kol,7/28/2022,Kemarau,7100
3444,Buncis,7/28/2022,Kemarau,4100
3445,Sawi Putih,7/29/2022,Kemarau,4100
3446,Cabe Chilli,7/29/2022,Kemarau,29100
3447,Cabe Kriting,7/29/2022,Kemarau,25800
3448,Cabe Rawit,7/29/2022,Kemarau,55600
3449,Kol,7/29/2022,Kemarau,9400
3450,Buncis,7/29/2022,Kemarau,2400
3451,Sawi Putih,7/30/2022,Kemarau,1100
3452,Cabe Chilli,7/30/2022,Kemarau,26400
3453,Cabe Kriting,7/30/2022,Kemarau,41300
3454,Cabe Rawit,7/30/2022,Kemarau,53000
3455,Kol,7/30/2022,Kemarau,10400
3456,Buncis,7/30/2022,Kemarau,3800
3457,Sawi Putih,7/31/2022,Kemarau,2500
3458,Cabe Chilli,7/31/2022,Kemarau,19500
3459,Cabe Kriting,7/31/2022,Kemarau,36100
3460,Cabe Rawit,7/31/2022,Kemarau,40700
3461,Kol,7/31/2022,Kemarau,7600
3462,Buncis,7/31/2022,Kemarau,2900
3463,Sawi Putih,8/1/2022,Kemarau,1500
3464,Cabe Chilli,8/1/2022,Kemarau,18400
3465,Cabe Kriting,8/1/2022,Kemarau,25400
3466,Cabe Rawit,8/1/2022,Kemarau,43000
3467,Kol,8/1/2022,Kemarau,2400
3468,Buncis,8/1/2022,Kemarau,2900
3469,Sawi Putih,8/2/2022,Kemarau,4000
3470,Cabe Chilli,8/2/2022,Kemarau,18700
3471,Cabe Kriting,8/2/2022,Kemarau,35400
3472,Cabe Rawit,8/2/2022,Kemarau,42700
3473,Kol,8/2/2022,Kemarau,8600
3474,Buncis,8/2/2022,Kemarau,4300
3475,Sawi Putih,8/3/2022,Kemarau,600
3476,Cabe Chilli,8/3/2022,Kemarau,18900
3477,Cabe Kriting,8/3/2022,Kemarau,30900
3478,Cabe Rawit,8/3/2022,Kemarau,46100
3479,Kol,8/3/2022,Kemarau,4400
3480,Buncis,8/3/2022,Kemarau,4800
3481,Sawi Putih,8/4/2022,Kemarau,4100
3482,Cabe Chilli,8/4/2022,Kemarau,16800
3483,Cabe Kriting,8/4/2022,Kemarau,26900
3484,Cabe Rawit,8/4/2022,Kemarau,43900
3485,Kol,8/4/2022,Kemarau,3200
3486,Buncis,8/4/2022,Kemarau,4300
3487,Sawi Putih,8/5/2022,Kemarau,1500
3488,Cabe Chilli,8/5/2022,Kemarau,19700
3489,Cabe Kriting,8/5/2022,Kemarau,27000
3490,Cabe Rawit,8/5/2022,Kemarau,43500
3491,Kol,8/5/2022,Kemarau,6600
3492,Buncis,8/5/2022,Kemarau,2800
3493,Sawi Putih,8/6/2022,Kemarau,1000
3494,Cabe Chilli,8/6/2022,Kemarau,26700
3495,Cabe Kriting,8/6/2022,Kemarau,29600
3496,Cabe Rawit,8/6/2022,Kemarau,40100
3497,Kol,8/6/2022,Kemarau,6000
3498,Buncis,8/6/2022,Kemarau,4100
3499,Sawi Putih,8/7/2022,Kemarau,2000
3500,Cabe Chilli,8/7/2022,Kemarau,15800
3501,Cabe Kriting,8/7/2022,Kemarau,25100
3502,Cabe Rawit,8/7/2022,Kemarau,33100
3503,Kol,8/7/2022,Kemarau,8500
3504,Buncis,8/7/2022,Kemarau,5600
3505,Sawi Putih,8/8/2022,Kemarau,2200
3506,Cabe Chilli,8/8/2022,Kemarau,19000
3507,Cabe Kriting,8/8/2022,Kemarau,23700
3508,Cabe Rawit,8/8/2022,Kemarau,48100
3509,Kol,8/8/2022,Kemarau,9300
3510,Buncis,8/8/2022,Kemarau,3900
3511,Sawi Putih,8/9/2022,Kemarau,3800
3512,Cabe Chilli,8/9/2022,Kemarau,21200
3513,Cabe Kriting,8/9/2022,Kemarau,30600
3514,Cabe Rawit,8/9/2022,Kemarau,53900
3515,Kol,8/9/2022,Kemarau,3100
3516,Buncis,8/9/2022,Kemarau,5300
3517,Sawi Putih,8/10/2022,Kemarau,1200
3518,Cabe Chilli,8/10/2022,Kemarau,18800
3519,Cabe Kriting,8/10/2022,Kemarau,33700
3520,Cabe Rawit,8/10/2022,Kemarau,46900
3521,Kol,8/10/2022,Kemarau,8100
3522,Buncis,8/10/2022,Kemarau,5800
3523,Sawi Putih,8/11/2022,Kemarau,800
3524,Cabe Chilli,8/11/2022,Kemarau,26100
3525,Cabe Kriting,8/11/2022,Kemarau,25700
3526,Cabe Rawit,8/11/2022,Kemarau,47000
3527,Kol,8/11/2022,Kemarau,5700
3528,Buncis,8/11/2022,Kemarau,2800
3529,Sawi Putih,8/12/2022,Kemarau,2900
3530,Cabe Chilli,8/12/2022,Kemarau,16900
3531,Cabe Kriting,8/12/2022,Kemarau,26400
3532,Cabe Rawit,8/12/2022,Kemarau,45700
3533,Kol,8/12/2022,Kemarau,4600
3534,Buncis,8/12/2022,Kemarau,5700
3535,Sawi Putih,8/13/2022,Kemarau,700
3536,Cabe Chilli,8/13/2022,Kemarau,14300
3537,Cabe Kriting,8/13/2022,Kemarau,22400
3538,Cabe Rawit,8/13/2022,Kemarau,40800
3539,Kol,8/13/2022,Kemarau,4300
3540,Buncis,8/13/2022,Kemarau,5300
3541,Sawi Putih,8/14/2022,Kemarau,4000
3542,Cabe Chilli,8/14/2022,Kemarau,19500
3543,Cabe Kriting,8/14/2022,Kemarau,30500
3544,Cabe Rawit,8/14/2022,Kemarau,47400
3545,Kol,8/14/2022,Kemarau,9000
3546,Buncis,8/14/2022,Kemarau,3800
3547,Sawi Putih,8/15/2022,Kemarau,1100
3548,Cabe Chilli,8/15/2022,Kemarau,21600
3549,Cabe Kriting,8/15/2022,Kemarau,24900
3550,Cabe Rawit,8/15/2022,Kemarau,34000
3551,Kol,8/15/2022,Kemarau,6800
3552,Buncis,8/15/2022,Kemarau,5900
3553,Sawi Putih,8/16/2022,Kemarau,3600
3554,Cabe Chilli,8/16/2022,Kemarau,16800
3555,Cabe Kriting,8/16/2022,Kemarau,28200
3556,Cabe Rawit,8/16/2022,Kemarau,44800
3557,Kol,8/16/2022,Kemarau,4500
3558,Buncis,8/16/2022,Kemarau,2200
3559,Sawi Putih,8/17/2022,Kemarau,1500
3560,Cabe Chilli,8/17/2022,Kemarau,23400
3561,Cabe Kriting,8/17/2022,Kemarau,23200
3562,Cabe Rawit,8/17/2022,Kemarau,47300
3563,Kol,8/17/2022,Kemarau,7300
3564,Buncis,8/17/2022,Kemarau,2300
3565,Sawi Putih,8/18/2022,Kemarau,3800
3566,Cabe Chilli,8/18/2022,Kemarau,21100
3567,Cabe Kriting,8/18/2022,Kemarau,31200
3568,Cabe Rawit,8/18/2022,Kemarau,49800
3569,Kol,8/18/2022,Kemarau,3800
3570,Buncis,8/18/2022,Kemarau,5100
3571,Sawi Putih,8/19/2022,Kemarau,3800
3572,Cabe Chilli,8/19/2022,Kemarau,15900
3573,Cabe Kriting,8/19/2022,Kemarau,25700
3574,Cabe Rawit,8/19/2022,Kemarau,47500
3575,Kol,8/19/2022,Kemarau,8400
3576,Buncis,8/19/2022,Kemarau,4800
3577,Sawi Putih,8/20/2022,Kemarau,3500
3578,Cabe Chilli,8/20/2022,Kemarau,23300
3579,Cabe Kriting,8/20/2022,Kemarau,34700
3580,Cabe Rawit,8/20/2022,Kemarau,36800
3581,Kol,8/20/2022,Kemarau,3400
3582,Buncis,8/20/2022,Kemarau,2100
3583,Sawi Putih,8/21/2022,Kemarau,1600
3584,Cabe Chilli,8/21/2022,Kemarau,17800
3585,Cabe Kriting,8/21/2022,Kemarau,28700
3586,Cabe Rawit,8/21/2022,Kemarau,32500
3587,Kol,8/21/2022,Kemarau,7900
3588,Buncis,8/21/2022,Kemarau,3500
3589,Sawi Putih,8/22/2022,Kemarau,2100
3590,Cabe Chilli,8/22/2022,Kemarau,16200
3591,Cabe Kriting,8/22/2022,Kemarau,27800
3592,Cabe Rawit,8/22/2022,Kemarau,48200
3593,Kol,8/22/2022,Kemarau,7600
3594,Buncis,8/22/2022,Kemarau,3300
3595,Sawi Putih,8/23/2022,Kemarau,700
3596,Cabe Chilli,8/23/2022,Kemarau,21000
3597,Cabe Kriting,8/23/2022,Kemarau,28500
3598,Cabe Rawit,8/23/2022,Kemarau,40100
3599,Kol,8/23/2022,Kemarau,10200
3600,Buncis,8/23/2022,Kemarau,5000
3601,Sawi Putih,8/24/2022,Kemarau,1000
3602,Cabe Chilli,8/24/2022,Kemarau,19400
3603,Cabe Kriting,8/24/2022,Kemarau,24100
3604,Cabe Rawit,8/24/2022,Kemarau,48000
3605,Kol,8/24/2022,Kemarau,4700
3606,Buncis,8/24/2022,Kemarau,5400
3607,Sawi Putih,8/25/2022,Kemarau,1200
3608,Cabe Chilli,8/25/2022,Kemarau,19500
3609,Cabe Kriting,8/25/2022,Kemarau,28600
3610,Cabe Rawit,8/25/2022,Kemarau,39400
3611,Kol,8/25/2022,Kemarau,5600
3612,Buncis,8/25/2022,Kemarau,3600
3613,Sawi Putih,8/26/2022,Kemarau,3300
3614,Cabe Chilli,8/26/2022,Kemarau,18700
3615,Cabe Kriting,8/26/2022,Kemarau,27700
3616,Cabe Rawit,8/26/2022,Kemarau,37600
3617,Kol,8/26/2022,Kemarau,9500
3618,Buncis,8/26/2022,Kemarau,2900
3619,Sawi Putih,8/27/2022,Kemarau,800
3620,Cabe Chilli,8/27/2022,Kemarau,24000
3621,Cabe Kriting,8/27/2022,Kemarau,25500
3622,Cabe Rawit,8/27/2022,Kemarau,52300
3623,Kol,8/27/2022,Kemarau,8100
3624,Buncis,8/27/2022,Kemarau,5000
3625,Sawi Putih,8/28/2022,Kemarau,3300
3626,Cabe Chilli,8/28/2022,Kemarau,18700
3627,Cabe Kriting,8/28/2022,Kemarau,30700
3628,Cabe Rawit,8/28/2022,Kemarau,49600
3629,Kol,8/28/2022,Kemarau,4900
3630,Buncis,8/28/2022,Kemarau,4300
3631,Sawi Putih,8/29/2022,Kemarau,1800
3632,Cabe Chilli,8/29/2022,Kemarau,21200
3633,Cabe Kriting,8/29/2022,Kemarau,32400
3634,Cabe Rawit,8/29/2022,Kemarau,37000
3635,Kol,8/29/2022,Kemarau,8900
3636,Buncis,8/29/2022,Kemarau,2200
3637,Sawi Putih,8/30/2022,Kemarau,2300
3638,Cabe Chilli,8/30/2022,Kemarau,23200
3639,Cabe Kriting,8/30/2022,Kemarau,28200
3640,Cabe Rawit,8/30/2022,Kemarau,36100
3641,Kol,8/30/2022,Kemarau,6300
3642,Buncis,8/30/2022,Kemarau,3300
3643,Sawi Putih,8/31/2022,Kemarau,4000
3644,Cabe Chilli,8/31/2022,Kemarau,23400
3645,Cabe Kriting,8/31/2022,Kemarau,25800
3646,Cabe Rawit,8/31/2022,Kemarau,41200
3647,Kol,8/31/2022,Kemarau,7300
3648,Buncis,8/31/2022,Kemarau,2600
3649,Sawi Putih,9/1/2022,Kemarau,2200
3650,Cabe Chilli,9/1/2022,Kemarau,21800
3651,Cabe Kriting,9/1/2022,Kemarau,24300
3652,Cabe Rawit,9/1/2022,Kemarau,49200
3653,Kol,9/1/2022,Kemarau,3400
3654,Buncis,9/1/2022,Kemarau,6800
3655,Sawi Putih,9/2/2022,Kemarau,1300
3656,Cabe Chilli,9/2/2022,Kemarau,25000
3657,Cabe Kriting,9/2/2022,Kemarau,25800
3658,Cabe Rawit,9/2/2022,Kemarau,44600
3659,Kol,9/2/2022,Kemarau,3400
3660,Buncis,9/2/2022,Kemarau,5400
3661,Sawi Putih,9/3/2022,Kemarau,2000
3662,Cabe Chilli,9/3/2022,Kemarau,20000
3663,Cabe Kriting,9/3/2022,Kemarau,24900
3664,Cabe Rawit,9/3/2022,Kemarau,43700
3665,Kol,9/3/2022,Kemarau,5000
3666,Buncis,9/3/2022,Kemarau,1800
3667,Sawi Putih,9/4/2022,Kemarau,1900
3668,Cabe Chilli,9/4/2022,Kemarau,23200
3669,Cabe Kriting,9/4/2022,Kemarau,29000
3670,Cabe Rawit,9/4/2022,Kemarau,51900
3671,Kol,9/4/2022,Kemarau,3600
3672,Buncis,9/4/2022,Kemarau,1900
3673,Sawi Putih,9/5/2022,Kemarau,600
3674,Cabe Chilli,9/5/2022,Kemarau,21800
3675,Cabe Kriting,9/5/2022,Kemarau,31600
3676,Cabe Rawit,9/5/2022,Kemarau,41800
3677,Kol,9/5/2022,Kemarau,3400
3678,Buncis,9/5/2022,Kemarau,6400
3679,Sawi Putih,9/6/2022,Kemarau,2100
3680,Cabe Chilli,9/6/2022,Kemarau,26500
3681,Cabe Kriting,9/6/2022,Kemarau,25000
3682,Cabe Rawit,9/6/2022,Kemarau,36900
3683,Kol,9/6/2022,Kemarau,7900
3684,Buncis,9/6/2022,Kemarau,7000
3685,Sawi Putih,9/7/2022,Kemarau,3000
3686,Cabe Chilli,9/7/2022,Kemarau,22500
3687,Cabe Kriting,9/7/2022,Kemarau,32000
3688,Cabe Rawit,9/7/2022,Kemarau,40100
3689,Kol,9/7/2022,Kemarau,6000
3690,Buncis,9/7/2022,Kemarau,4400
3691,Sawi Putih,9/8/2022,Kemarau,4300
3692,Cabe Chilli,9/8/2022,Kemarau,25900
3693,Cabe Kriting,9/8/2022,Kemarau,25600
3694,Cabe Rawit,9/8/2022,Kemarau,40400
3695,Kol,9/8/2022,Kemarau,4100
3696,Buncis,9/8/2022,Kemarau,5100
3697,Sawi Putih,9/9/2022,Kemarau,3700
3698,Cabe Chilli,9/9/2022,Kemarau,21200
3699,Cabe Kriting,9/9/2022,Kemarau,27900
3700,Cabe Rawit,9/9/2022,Kemarau,44600
3701,Kol,9/9/2022,Kemarau,3300
3702,Buncis,9/9/2022,Kemarau,2100
3703,Sawi Putih,9/10/2022,Kemarau,2500
3704,Cabe Chilli,9/10/2022,Kemarau,22800
3705,Cabe Kriting,9/10/2022,Kemarau,28200
3706,Cabe Rawit,9/10/2022,Kemarau,41000
3707,Kol,9/10/2022,Kemarau,4700
3708,Buncis,9/10/2022,Kemarau,5600
3709,Sawi Putih,9/11/2022,Kemarau,3700
3710,Cabe Chilli,9/11/2022,Kemarau,17100
3711,Cabe Kriting,9/11/2022,Kemarau,27200
3712,Cabe Rawit,9/11/2022,Kemarau,33700
3713,Kol,9/11/2022,Kemarau,8700
3714,Buncis,9/11/2022,Kemarau,4700
3715,Sawi Putih,9/12/2022,Kemarau,600
3716,Cabe Chilli,9/12/2022,Kemarau,24300
3717,Cabe Kriting,9/12/2022,Kemarau,23700
3718,Cabe Rawit,9/12/2022,Kemarau,41600
3719,Kol,9/12/2022,Kemarau,8800
3720,Buncis,9/12/2022,Kemarau,3400
3721,Sawi Putih,9/13/2022,Kemarau,900
3722,Cabe Chilli,9/13/2022,Kemarau,16800
3723,Cabe Kriting,9/13/2022,Kemarau,34200
3724,Cabe Rawit,9/13/2022,Kemarau,39100
3725,Kol,9/13/2022,Kemarau,7000
3726,Buncis,9/13/2022,Kemarau,2500
3727,Sawi Putih,9/14/2022,Kemarau,1000
3728,Cabe Chilli,9/14/2022,Kemarau,21400
3729,Cabe Kriting,9/14/2022,Kemarau,25500
3730,Cabe Rawit,9/14/2022,Kemarau,45800
3731,Kol,9/14/2022,Kemarau,8300
3732,Buncis,9/14/2022,Kemarau,6000
3733,Sawi Putih,9/15/2022,Kemarau,2400
3734,Cabe Chilli,9/15/2022,Kemarau,21200
3735,Cabe Kriting,9/15/2022,Kemarau,28800
3736,Cabe Rawit,9/15/2022,Kemarau,47000
3737,Kol,9/15/2022,Kemarau,8500
3738,Buncis,9/15/2022,Kemarau,1900
3739,Sawi Putih,9/16/2022,Kemarau,3700
3740,Cabe Chilli,9/16/2022,Kemarau,19100
3741,Cabe Kriting,9/16/2022,Kemarau,30900
3742,Cabe Rawit,9/16/2022,Kemarau,36200
3743,Kol,9/16/2022,Kemarau,4600
3744,Buncis,9/16/2022,Kemarau,6100
3745,Sawi Putih,9/17/2022,Kemarau,2700
3746,Cabe Chilli,9/17/2022,Kemarau,18400
3747,Cabe Kriting,9/17/2022,Kemarau,23500
3748,Cabe Rawit,9/17/2022,Kemarau,48100
3749,Kol,9/17/2022,Kemarau,5000
3750,Buncis,9/17/2022,Kemarau,5700
3751,Sawi Putih,9/18/2022,Kemarau,4400
3752,Cabe Chilli,9/18/2022,Kemarau,22500
3753,Cabe Kriting,9/18/2022,Kemarau,28800
3754,Cabe Rawit,9/18/2022,Kemarau,42700
3755,Kol,9/18/2022,Kemarau,6100
3756,Buncis,9/18/2022,Kemarau,6900
3757,Sawi Putih,9/19/2022,Kemarau,2300
3758,Cabe Chilli,9/19/2022,Kemarau,22400
3759,Cabe Kriting,9/19/2022,Kemarau,26100
3760,Cabe Rawit,9/19/2022,Kemarau,40500
3761,Kol,9/19/2022,Kemarau,7500
3762,Buncis,9/19/2022,Kemarau,1900
3763,Sawi Putih,9/20/2022,Kemarau,2600
3764,Cabe Chilli,9/20/2022,Kemarau,20700
3765,Cabe Kriting,9/20/2022,Kemarau,28300
3766,Cabe Rawit,9/20/2022,Kemarau,39800
3767,Kol,9/20/2022,Kemarau,2300
3768,Buncis,9/20/2022,Kemarau,4300
3769,Sawi Putih,9/21/2022,Kemarau,1300
3770,Cabe Chilli,9/21/2022,Kemarau,22900
3771,Cabe Kriting,9/21/2022,Kemarau,29200
3772,Cabe Rawit,9/21/2022,Kemarau,42500
3773,Kol,9/21/2022,Kemarau,9700
3774,Buncis,9/21/2022,Kemarau,5700
3775,Sawi Putih,9/22/2022,Kemarau,1300
3776,Cabe Chilli,9/22/2022,Kemarau,17300
3777,Cabe Kriting,9/22/2022,Kemarau,23700
3778,Cabe Rawit,9/22/2022,Kemarau,45200
3779,Kol,9/22/2022,Kemarau,5000
3780,Buncis,9/22/2022,Kemarau,5300
3781,Sawi Putih,9/23/2022,Kemarau,1700
3782,Cabe Chilli,9/23/2022,Kemarau,17500
3783,Cabe Kriting,9/23/2022,Kemarau,31400
3784,Cabe Rawit,9/23/2022,Kemarau,40500
3785,Kol,9/23/2022,Kemarau,9100
3786,Buncis,9/23/2022,Kemarau,5900
3787,Sawi Putih,9/24/2022,Kemarau,3300
3788,Cabe Chilli,9/24/2022,Kemarau,21000
3789,Cabe Kriting,9/24/2022,Kemarau,35900
3790,Cabe Rawit,9/24/2022,Kemarau,40200
3791,Kol,9/24/2022,Kemarau,5200
3792,Buncis,9/24/2022,Kemarau,5800
3793,Sawi Putih,9/25/2022,Kemarau,3400
3794,Cabe Chilli,9/25/2022,Kemarau,20300
3795,Cabe Kriting,9/25/2022,Kemarau,31700
3796,Cabe Rawit,9/25/2022,Kemarau,36200
3797,Kol,9/25/2022,Kemarau,5900
3798,Buncis,9/25/2022,Kemarau,3800
3799,Sawi Putih,9/26/2022,Kemarau,2600
3800,Cabe Chilli,9/26/2022,Kemarau,23900
3801,Cabe Kriting,9/26/2022,Kemarau,30100
3802,Cabe Rawit,9/26/2022,Kemarau,33000
3803,Kol,9/26/2022,Kemarau,4800
3804,Buncis,9/26/2022,Kemarau,3400
3805,Sawi Putih,9/27/2022,Kemarau,2100
3806,Cabe Chilli,9/27/2022,Kemarau,19600
3807,Cabe Kriting,9/27/2022,Kemarau,26300
3808,Cabe Rawit,9/27/2022,Kemarau,37200
3809,Kol,9/27/2022,Kemarau,8800
3810,Buncis,9/27/2022,Kemarau,4600
3811,Sawi Putih,9/28/2022,Kemarau,3600
3812,Cabe Chilli,9/28/2022,Kemarau,26100
3813,Cabe Kriting,9/28/2022,Kemarau,23300
3814,Cabe Rawit,9/28/2022,Kemarau,51700
3815,Kol,9/28/2022,Kemarau,5700
3816,Buncis,9/28/2022,Kemarau,2200
3817,Sawi Putih,9/29/2022,Kemarau,2100
3818,Cabe Chilli,9/29/2022,Kemarau,20000
3819,Cabe Kriting,9/29/2022,Kemarau,25000
3820,Cabe Rawit,9/29/2022,Kemarau,41800
3821,Kol,9/29/2022,Kemarau,5900
3822,Buncis,9/29/2022,Kemarau,5400
3823,Sawi Putih,9/30/2022,Kemarau,2900
3824,Cabe Chilli,9/30/2022,Kemarau,24500
3825,Cabe Kriting,9/30/2022,Kemarau,32200
3826,Cabe Rawit,9/30/2022,Kemarau,41700
3827,Kol,9/30/2022,Kemarau,9200
3828,Buncis,9/30/2022,Kemarau,3200
3829,Sawi Putih,10/1/2022,Kemarau,2200
3830,Cabe Chilli,10/1/2022,Kemarau,21000
3831,Cabe Kriting,10/1/2022,Kemarau,29400
3832,Cabe Rawit,10/1/2022,Kemarau,44900
3833,Kol,10/1/2022,Kemarau,5400
3834,Buncis,10/1/2022,Kemarau,4800
3835,Sawi Putih,10/2/2022,Kemarau,2600
3836,Cabe Chilli,10/2/2022,Kemarau,16700
3837,Cabe Kriting,10/2/2022,Kemarau,27400
3838,Cabe Rawit,10/2/2022,Kemarau,41500
3839,Kol,10/2/2022,Kemarau,10300
3840,Buncis,10/2/2022,Kemarau,2400
3841,Sawi Putih,10/3/2022,Kemarau,3400
3842,Cabe Chilli,10/3/2022,Kemarau,20300
3843,Cabe Kriting,10/3/2022,Kemarau,29200
3844,Cabe Rawit,10/3/2022,Kemarau,43400
3845,Kol,10/3/2022,Kemarau,8600
3846,Buncis,10/3/2022,Kemarau,2300
3847,Sawi Putih,10/4/2022,Kemarau,2500
3848,Cabe Chilli,10/4/2022,Kemarau,22400
3849,Cabe Kriting,10/4/2022,Kemarau,31900
3850,Cabe Rawit,10/4/2022,Kemarau,46400
3851,Kol,10/4/2022,Kemarau,6500
3852,Buncis,10/4/2022,Kemarau,3700
3853,Sawi Putih,10/5/2022,Kemarau,3400
3854,Cabe Chilli,10/5/2022,Kemarau,19300
3855,Cabe Kriting,10/5/2022,Kemarau,28700
3856,Cabe Rawit,10/5/2022,Kemarau,49900
3857,Kol,10/5/2022,Kemarau,9900
3858,Buncis,10/5/2022,Kemarau,1800
3859,Sawi Putih,10/6/2022,Kemarau,2400
3860,Cabe Chilli,10/6/2022,Kemarau,23000
3861,Cabe Kriting,10/6/2022,Kemarau,32800
3862,Cabe Rawit,10/6/2022,Kemarau,29000
3863,Kol,10/6/2022,Kemarau,9200
3864,Buncis,10/6/2022,Kemarau,2300
3865,Sawi Putih,10/7/2022,Kemarau,3400
3866,Cabe Chilli,10/7/2022,Kemarau,23200
3867,Cabe Kriting,10/7/2022,Kemarau,29300
3868,Cabe Rawit,10/7/2022,Kemarau,38100
3869,Kol,10/7/2022,Kemarau,9200
3870,Buncis,10/7/2022,Kemarau,5800
3871,Sawi Putih,10/8/2022,Kemarau,2500
3872,Cabe Chilli,10/8/2022,Kemarau,23500
